player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1630550,JT Thor,1610612766,CHA,20,6-9,81,203,Auburn,USA,2021,2,37,65,226,132,31,-7.5,0.04,0.109,0.127,0.509,0.053
1629630,Ja Morant,1610612763,MEM,23,6-2,74,174,Murray State,USA,2019,1,2,58,1544,335,466,7.4,0.03,0.136,0.342,0.556,0.411
203210,JaMychal Green,1610612744,GSW,32,6-9,81,227,Alabama,USA,Undrafted,Undrafted,Undrafted,56,364,204,50,-9,0.088,0.166,0.17,0.651,0.095
201580,JaVale McGee,1610612742,DAL,35,7-0,84,270,Nevada,USA,2008,1,18,39,163,99,10,-11.4,0.091,0.211,0.219,0.63,0.053
1631095,Jabari Smith Jr.,1610612745,HOU,19,6-11,83,220,Auburn,USA,2022,1,3,75,947,543,98,-12.2,0.047,0.183,0.184,0.51,0.06
1631133,Jabari Walker,1610612757,POR,20,6-7,79,200,Colorado,USA,2022,2,57,51,171,107,27,-7,0.078,0.13,0.154,0.508,0.076
1631298,Jack White,1610612743,DEN,25,6-7,79,225,Duke,Australia,Undrafted,Undrafted,Undrafted,16,19,9,3,-31.3,0.056,0.14,0.143,0.548,0.097
1630702,Jaden Hardy,1610612742,DAL,20,6-3,75,198,None,USA,2022,2,37,44,380,77,57,-1.9,0.011,0.108,0.251,0.578,0.146
1631093,Jaden Ivey,1610612765,DET,21,6-4,76,195,Purdue,USA,2022,1,5,69,1092,268,352,-12.5,0.031,0.095,0.248,0.526,0.263
1630183,Jaden McDaniels,1610612750,MIN,22,6-9,81,185,Washington,USA,2020,1,28,75,912,293,145,1.8,0.041,0.085,0.157,0.608,0.085
1630531,Jaden Springer,1610612755,PHI,20,6-4,76,202,Tennessee,USA,2021,1,28,14,23,12,5,-10,0.102,0.125,0.211,0.467,0.161
203109,Jae Crowder,1610612749,MIL,32,6-6,78,235,Marquette,USA,2012,2,34,13,68,50,18,2.1,0.047,0.138,0.101,0.632,0.097
1630256,Jae'Sean Tate,1610612745,HOU,27,6-5,77,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,31,283,118,84,-7.3,0.054,0.114,0.178,0.546,0.184
1631222,Jake LaRavia,1610612763,MEM,21,6-7,79,235,Wake Forest,USA,2022,1,19,34,105,63,21,-7.5,0.044,0.101,0.117,0.531,0.068
1627751,Jakob Poeltl,1610612761,TOR,27,7-1,85,245,Utah,Austria,2016,1,9,67,852,617,188,-3.8,0.117,0.242,0.18,0.639,0.148
1628973,Jalen Brunson,1610612752,NYK,26,6-2,74,190,Villanova,USA,2018,2,33,67,1606,238,413,1.7,0.017,0.085,0.266,0.597,0.28
1631105,Jalen Duren,1610612765,DET,19,6-11,83,250,Memphis,USA,2022,1,13,62,553,538,72,-8.1,0.132,0.216,0.137,0.647,0.072
1630224,Jalen Green,1610612745,HOU,21,6-4,76,186,None,USA,2021,1,2,72,1587,270,260,-9.5,0.016,0.094,0.275,0.539,0.167
1630552,Jalen Johnson,1610612737,ATL,21,6-8,80,219,Duke,USA,2021,1,20,65,337,258,67,-0.2,0.049,0.216,0.148,0.547,0.094
1629667,Jalen McDaniels,1610612755,PHI,25,6-9,81,205,San Diego State,USA,2019,2,52,75,705,327,123,-3.3,0.031,0.145,0.165,0.556,0.095
1630188,Jalen Smith,1610612754,IND,23,6-9,81,215,Maryland,USA,2020,1,10,66,611,383,66,-3.3,0.093,0.204,0.203,0.557,0.078
1630591,Jalen Suggs,1610612753,ORL,21,6-5,77,205,Gonzaga,USA,2021,1,5,48,461,141,146,-2.1,0.043,0.08,0.194,0.516,0.183
